一	✍1	小1	ONE	one radical (no.1)	イチ　イツ	ひと-　ひと.つ	一方 (いっぽう) - one (esp. of two)<br>一つ (ひとつ) - one<br>一部 (いちぶ) - one part
右	✍5	小1	RIGHT		ウ　ユウ	みぎ	左右 (さう) - left and right<br>右翼 (うよく) - right-wing (politics)<br>右派 (うは) - right wing
雨	✍8	小1	RAIN		ウ	あめ　あま-　-さめ	大雨 (おおあめ) - heavy rain<br>梅雨 (つゆ) - rainy season<br>雨水 (あまみず) - rain water
円	✍4	小1	CIRCLE	yen, round	エン	まる.い　まる　まど　まど.か　まろ.やか	円高 (えんだか) - appreciation of the yen<br>円安 (えんやす) - cheap yen<br>円相場 (えんそうば) - yen exchange rate
王	✍4	小1	KING	rule, magnate	オウ　-ノウ		国王 (こくおう) - king<br>女王 (じょおう) - queen<br>王将 (おうしょう) - king
音	✍9	小1	SOUND	noise	オン　イン　-ノン	おと　ね	音楽 (おんがく) - music<br>本音 (ほんね) - real intention<br>騒音 (そうおん) - noise
下	✍3	小1	BELOW	down, descend, give, low, inferior	カ　ゲ	した　しも　もと　さ.げる　さ.がる　くだ.る　くだ.り　くだ.す　-くだ.す　くだ.さる　お.ろす　お.りる	以下 (いか) - not exceeding<br>低下 (ていか) - fall<br>下がる (さがる) - to hang down
火	✍4	小1	FIRE		カ	ひ　-び　ほ-	火山 (かざん) - volcano<br>火災 (かさい) - conflagration<br>噴火 (ふんか) - eruption
花	✍7	小1	FLOWER		カ　ケ	はな	花火 (はなび) - fireworks<br>開花 (かいか) - flowers budding<br>花園 (かえん) - flower garden
貝	✍7	小1	SHELLFISH		バイ	かい	貝塚 (かいずか) - shell heap<br>貝殻 (かいがら) - shell<br>巻き貝 (まきがい) - snail
学	✍8	小1	STUDY	learning, science	ガク	まな.ぶ	学校 (がっこう) - school<br>科学 (かがく) - science<br>学ぶ (まなぶ) - to study (in depth)
気	✍6	小1	SPIRIT	mind, air, atmosphere, mood	キ　ケ	いき	景気 (けいき) - condition<br>人気 (じんき) - prevailing mood of a locality<br>気持ち (きもち) - feeling
九	✍2	小1	NINE		キュウ　ク	ここの　ここの.つ	九月 (くがつ) - September<br>北九州 (きたきゅうしゅう) - Kitakyushu (city)<br>九つ (ここのつ) - nine
休	✍6	小1	REST	day off, retire, sleep	キュウ	やす.む　やす.まる　やす.める	休日 (きゅうじつ) - holiday<br>夏休み (なつやすみ) - summer vacation<br>休暇 (きゅうか) - holiday
玉	✍5	小1	JEWEL	ball	ギョク	たま　たま-　-だま	埼玉 (さいたま) - Saitama (city)<br>目玉 (めだま) - eyeball<br>替え玉 (かえだま) - substitute
金	✍8	小1	GOLD		キン　コン　ゴン	かね　かな-　-がね	資金 (しきん) - funds<br>金融 (きんゆう) - financing<br>金利 (きんり) - interest rates
空	✍8	小1	EMPTY	sky, void, vacant, vacuum	クウ	そら　あ.く　あ.き　あ.ける　から　す.く　す.かす　むな.しい	空港 (くうこう) - airport<br>航空 (こうくう) - aviation<br>空気 (くうき) - air
月	✍4	小1	MONTH	moon	ゲツ　ガツ	つき	カ月 (かげつ) - months<br>四月 (しがつ) - April<br>六月 (ろくがつ) - June
犬	✍4	小1	DOG		ケン	いぬ　いぬ-	盲導犬 (もうどうけん) - guide dog for the blind<br>愛犬 (あいけん) - pet dog<br>飼い犬 (かいいぬ) - pet dog
見	✍7	小1	SEE	hopes, chances, idea, opinion, look at, visible	ケン	み.る　み.える　み.せる	見る (みる) - to see<br>会見 (かいけん) - interview<br>意見 (いけん) - opinion
五	✍4	小1	FIVE		ゴ	いつ　いつ.つ	五月 (ごがつ) - May<br>五輪 (ごりん) - the Olympics<br>五分 (ごふん) - five minutes
