乙	✍1	中学	THE LATTER	duplicate, strange, witty, fishhook radical (no. 5)	オツ　イツ	おと-　きのと	早乙女 (さおとめ) - young female rice planter<br>乙女 (おとめ) - little girl<br>甲乙 (こうおつ) - A and B
了	✍2	中学	COMPLETE	finish	リョウ		終了 (しゅうりょう) - end<br>了承 (りょうしょう) - acknowledgment<br>終了後 (しゅうりょうご) - after the end (of something)
又	✍2	中学	OR AGAIN	furthermore, on the other hand	ユウ	また　また-　また.の-	又は (または) - or<br>又も (またも) - again
丈	✍3	中学	LENGTH	10feet, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely	ジョウ	たけ　だけ	大丈夫 (だいじょうぶ) - safe<br>丈夫 (じょうふ) - hero<br>背丈 (せたけ) - stature
与	✍3	中学	BESTOW	participate in, give, award, impart, provide, cause, gift, godsend	ヨ	あた.える　あずか.る　くみ.する　ともに	与党 (よとう) - ruling party<br>与える (あたえる) - to give (esp. to someone of lower status)<br>与野党 (よやとう) - parties in and out of power
及	✍3	中学	REACH OUT	exert, exercise, cause	キュウ	およ.ぶ　およ.び　および　およ.ぼす	及び (および) - and<br>及ぶ (およぶ) - to reach<br>追及 (ついきゅう) - investigation (e.g., into someone's guilt)
乞	✍3	中学	BEG	invite, ask	コツ　キツ　キ　キケ　コチ	こ.う	乞食 (こじき) - beggar<br>物乞 (ものごい) - beggar<br>乞う (こう) - to beg
凡	✍3	中学	COMMONPLACE	ordinary, mediocre	ボン　ハン	およ.そ　おうよ.そ　すべ.て	平凡 (へいぼん) - common<br>凡退 (ぼんたい) - out in 1-2-3 order (baseball)<br>凡人 (ぼんじん) - ordinary person
刃	✍3	中学	BLADE	sword, edge	ジン　ニン	は　やいば　き.る	刃物 (はもの) - edged tool<br>刃渡り (はわたり) - length of a blade (sword, knife, etc.)<br>もろ刃 (もろは) - double-edged
巾	✍3	中学	TOWEL	hanging scroll, width, cloth radical (no. 50)	キン　フク	おお.い　ちきり　きれ	頭巾 (ずきん) - hood<br>巾着 (きんちゃく) - pouch<br>雑巾 (ぞうきん) - house-cloth
互	✍4	中学	MUTUALLY	reciprocally, together	ゴ	たが.い　かたみ.に	相互 (そうご) - mutual<br>互い (たがい) - mutual<br>互いに (たがいに) - mutually
丹	✍4	中学	RUST-COLORED	red, red lead, pills, sincerity	タン	に	伊勢丹 (いせたん) - Isetan (department store)<br>丹念 (たんねん) - assiduity<br>牡丹 (ぼたん) - tree peony (Paeonia suffruticosa)
乏	✍4	中学	DESTITUTION	scarce, limited	ボウ	とぼ.しい　とも.しい	乏しい (とぼしい) - meagre<br>貧乏 (びんぼう) - poverty<br>欠乏 (けつぼう) - want
井	✍4	中学	WELL	well crib, town, community	セイ　ショウ	い	天井 (てんじょう) - ceiling<br>井戸 (いど) - water well<br>油井 (ゆせい) - oil well
冗	✍4	中学	SUPERFLUOUS	uselessness	ジョウ		冗談 (じょうだん) - jest<br>冗舌 (じょうぜつ) - garrulity<br>冗長 (じょうちょう) - tedious
凶	✍4	中学	VILLAIN	evil, bad luck, disaster	キョウ		凶作 (きょうさく) - bad harvest<br>凶悪 (きょうあく) - atrocious<br>元凶 (がんきょう) - ringleader
刈	✍4	中学	REAP	cut, clip, trim, prune	ガイ　カイ	か.る	丸刈り (まるがり) - close clipping<br>刈る (かる) - to cut (hair)<br>草刈り (くさかり) - mowing
勾	✍4	中学	BE BENT	slope, capture	コウ　ク	かぎ　ま.がる	勾配 (こうばい) - slope<br>勾玉 (まがたま) - comma-shaped jewels<br>勾留 (こうりゅう) - detention
匂	✍4	中学	FRAGRANT	stink, glow, insinuate, kokuji		にお.う　にお.い　にお.わせる	匂い (におい) - odour<br>匂う (におう) - to be fragrant
匹	✍4	中学	EQUAL	head, counter for small animals, roll of cloth	ヒツ	ひき	匹敵 (ひってき) - comparing with<br>匹夫 (ひっぷ) - man<br>男一匹 (おとこいっぴき) - shining example of a man
升	✍4	中学	MEASURING BOX	1.8 liter	ショウ	ます	升目 (ますめ) - measure<br>升形 (ますがた) - square (shape)
厄	✍4	中学	UNLUCKY	misfortune, bad luck, disaster	ヤク		厄介 (やっかい) - trouble<br>厄年 (やくどし) - unlucky year<br>災厄 (さいやく) - calamity
双	✍4	中学	PAIR	set, comparison, counter for pairs	ソウ	ふた　たぐい　ならぶ　ふたつ	双方 (そうほう) - two way<br>双子 (そうし) - twins<br>双方向 (そうほうこう) - two-way
介	✍4	中学	JAMMED IN	shellfish, mediate, concern oneself with	カイ		紹介 (しょうかい) - introduction<br>介入 (かいにゅう) - intervention<br>仲介 (ちゅうかい) - agency
孔	✍4	中学	CAVITY	hole, slit, very, great, exceedingly	コウ	あな	孔子 (こうし) - Confucius<br>瞳孔 (どうこう) - pupil<br>噴気孔 (ふんきこう) - fumarole
屯	✍4	中学	BARRACKS	police station, camp, ton	トン	たむろ	駐屯 (ちゅうとん) - stationing (troops)<br>屯田 (とんでん) - colonization<br>分屯地 (ぶんとんち) - vice-camp (military)
幻	✍4	中学	PHANTASM	vision, dream, illusion, apparition	ゲン	まぼろし	幻想 (げんそう) - illusions<br>幻影 (げんえい) - phantom<br>幻滅 (げんめつ) - disillusionment
弔	✍4	中学	CONDOLENCES	mourning, funeral	チョウ	とむら.う　とぶら.う	弔問 (ちょうもん) - condolence call<br>弔辞 (ちょうじ) - message of condolence<br>弔意 (ちょうい) - condolence
斗	✍4	中学	BIG DIPPER	10 sho (vol), sake dipper, dots and cross radical (no. 68)	ト　トウ		北斗 (ほくと) - the Big Dipper (asterism)<br>火熨斗 (ひのし) - an iron<br>漏斗 (じょうご) - funnel
斤	✍4	中学	AXE	1.32 lb, catty, counter for loaves of bread, axe radical (no. 69)	キン		
爪	✍4	中学	CLAW	nail, talon	ソウ	つめ　つま-	爪先 (つまさき) - toes<br>爪痕 (つめあと) - fingernail mark<br>爪弾き (つまはじき) - black sheep (of a family)
牙	✍5	中学	TUSK	fang, tusk radical (no. 92)	ガ　ゲ	きば　は	象牙 (ぞうげ) - ivory<br>牙城 (がじょう) - stronghold (esp. of an enemy or opponent)<br>歯牙 (しが) - teeth (and tusks)
且	✍5	中学	MOREOVER	also, furthermore	ショ　ソ　ショウ	か.つ	
丘	✍5	中学	HILL	knoll	キュウ	おか	丘陵 (きゅうりょう) - hill<br>砂丘 (さきゅう) - sand dune<br>墳丘 (ふんきゅう) - tumulus
丙	✍5	中学	THIRD CLASS	3rd, 3rd calendar sign	ヘイ	ひのえ	
丼	✍5	中学	BOWL	bowl of food	トン　タン　ショウ　セイ	どんぶり	天丼 (てんどん) - tempura served over a bowl of rice
巨	✍5	中学	GIGANTIC	big, large, great	キョ		巨人 (きょじん) - giant<br>巨額 (きょがく) - great sum<br>巨大 (きょだい) - huge
仙	✍5	中学	HERMIT	wizard, cent	セン　セント		仙台 (せんだい) - Sendai (city)<br>仙人 (せんにん) - immortal mountain wizard (in Taoism)<br>仙女 (せんじょ) - fairy
凹	✍5	中学	CONCAVE	hollow, sunken	オウ	くぼ.む　へこ.む　ぼこ	凹凸 (おうとつ) - unevenness<br>凸凹 (だくぼく) - unevenness<br>凹版 (おうはん) - intaglio (printing)
凸	✍5	中学	CONVEX	beetle brow, uneven	トツ	でこ	凹凸 (おうとつ) - unevenness<br>凸版 (とっぱん) - letterpress<br>凸凹 (だくぼく) - unevenness
