乙	✍1	中学	THE LATTER	duplicate, strange, witty, fishhook radical (no. 5)	オツ　イツ	おと-　きのと	乙女 (おとめ) - little girl<br>早乙女 (さおとめ) - young female rice planter<br>乙姫 (おとひめ) - youngest princess
了	✍2	中学	COMPLETE	finish	リョウ		終了 (しゅうりょう) - end<br>終了後 (しゅうりょうご) - after the end (of something)<br>了承 (りょうしょう) - acknowledgment
又	✍2	中学	OR AGAIN	furthermore, on the other hand	ユウ	また　また-　また.の-	又は (または) - or<br>又聞き (またぎき) - hearsay<br>又貸し (またかし) - subleasing
丈	✍3	中学	LENGTH	ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely	ジョウ	たけ　だけ	大丈夫 (だいじょうふ) - great man<br>丈夫 (じょうふ) - hero<br>身の丈 (みのたけ) - stature
与	✍3	中学	BESTOW	participate in, give, award, impart, provide, cause, gift, godsend	ヨ	あた.える　あずか.る　くみ.する　ともに	与え (あたえ) - gift<br>与党 (よとう) - ruling party<br>与える (あたえる) - to give (esp. to someone of lower status)
及	✍3	中学	REACH OUT	exert, exercise, cause	キュウ	およ.ぶ　およ.び　および　およ.ぼす	及び (および) - and<br>普及 (ふきゅう) - diffusion<br>言及 (げんきゅう) - reference
乞	✍3	中学	BEG	invite, ask	コツ　キツ　キ　キケ　コチ	こ.う	乞う (こう) - to beg<br>物乞い (ものごい) - beggar<br>命乞い (いのちごい) - begging for one's life
凡	✍3	中学	COMMONPLACE	ordinary, mediocre	ボン　ハン	およ.そ　おうよ.そ　すべ.て	凡例 (はんれい) - introductory remarks<br>平凡 (へいぼん) - common<br>凡退 (ぼんたい) - out in 1-2-3 order
刃	✍3	中学	BLADE	sword, edge	ジン　ニン	は　やいば　き.る	刃物 (はもの) - edged tool<br>刃渡り (はわたり) - length of a blade (sword, knife, etc.)<br>両刃 (もろは) - double-edged
巾	✍3	中学	TOWEL	hanging scroll, width, cloth radical (no. 50)	キン　フク	おお.い　ちきり　きれ	雑巾 (ぞうきん) - house-cloth<br>布巾 (ふきん) - tea-towel<br>三角巾 (さんかくきん) - triangular bandage
互	✍4	中学	MUTUALLY	reciprocally, together	ゴ	たが.い　かたみ.に	お互い (おたがい) - mutual<br>互いに (たがいに) - mutually<br>互い (たがい) - mutual
丹	✍4	中学	RUST-COLORED	red, red lead, pills, sincerity	タン	に	伊勢丹 (いせたん) - Isetan (department store)<br>丹念 (たんねん) - assiduity<br>牡丹 (ぼたん) - tree peony (Paeonia suffruticosa)
乏	✍4	中学	DESTITUTION	scarce, limited	ボウ	とぼ.しい　とも.しい	貧乏 (びんぼう) - poverty<br>乏しい (とぼしい) - meagre<br>貧乏人 (びんぼうにん) - poor person
井	✍4	中学	WELL	well crib, town, community	セイ　ショウ	い	天井 (てんじょう) - ceiling<br>井戸 (いど) - water well<br>福井県 (ふくいけん) - Fukui prefecture (Hokuriku area)
冗	✍4	中学	SUPERFLUOUS	uselessness	ジョウ		冗談 (じょうだん) - jest<br>冗長 (じょうちょう) - tedious<br>冗舌 (じょうぜつ) - garrulity
凶	✍4	中学	VILLAIN	evil, bad luck, disaster	キョウ		凶悪 (きょうあく) - atrocious<br>凶器 (きょうき) - dangerous weapon<br>凶暴 (きょうぼう) - brutal
刈	✍4	中学	REAP	cut, clip, trim, prune	ガイ　カイ	か.る	草刈り (くさかり) - mowing<br>稲刈り (いねかり) - rice reaping<br>丸刈り (まるがり) - close clipping
勾	✍4	中学	BE BENT	slope, capture	コウ　ク	かぎ　ま.がる	勾配 (こうばい) - slope<br>勾玉 (まがたま) - comma-shaped jewels<br>急勾配 (きゅうこうばい) - steep slope
匂	✍4	中学	FRAGRANT	stink, glow, insinuate, kokuji		にお.う　にお.い　にお.わせる	匂い (におい) - odour<br>匂う (におう) - to be fragrant<br>匂菫 (においすみれ) - sweet violet (Viola odorata)
匹	✍4	中学	EQUAL	head, counter for small animals, roll of cloth	ヒツ	ひき	匹敵 (ひってき) - comparing with<br>一匹 (いっぴき) - one animal (small)<br>一匹狼 (いっぴきおおかみ) - lone wolf
升	✍4	中学	MEASURING BOX	1.8 liter	ショウ	ます	一升瓶 (いっしょうびん) - 1 sho bottle (1.8 litres)<br>升目 (ますめ) - measure<br>一升 (いっしょう) - unit of old Japanese liquid measurement
